	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
186	DB02699	0.6875	0.5094	0.283	0.5233	0.3784	0.1579	0.5238	0.3544	6	5321018	
187	DB02789	0.8529	0.5045	0.2523	0.5217	0.3826	0.1154	0.7436	0.3529	6	5321018	
188	DB02998	0.8529	0.566	0.3585	0.6087	0.4317	0.1212	0.7436	0.4375	6	5321018	
189	DB03451	0.7179	0.4928	0.2899	0.5588	0.3314	0.2385	0.56	0.3878	6	5321018	
190	DB03671	0.8101	0.512	0.272	0.624	0.3887	0.1138	0.6809	0.4535	6	5321018	
191	DB04038	0.806	0.4409	0.2362	0.5798	0.32	0.1062	0.675	0.4082	6	5321018	
192	DB04177	0.8312	0.5203	0.2764	0.6261	0.3957	0.1345	0.7111	0.4557	6	5321018	
193	DB04630	0.7467	0.4874	0.2521	0.503	0.3574	0.1429	0.5957	0.336	6	5321018	
194	DB04652	0.7632	0.5172	0.2759	0.5069	0.36	0.1468	0.617	0.3395	6	5321018	
195	DB04891	0.7778	0.5517	0.3448	0.5346	0.3667	0.268	0.6364	0.3648	6	5321018	
196	DB05767	0.7952	0.6435	0.3652	0.6245	0.4632	0.2353	0.66	0.454	6	5321018	
197	DB05786	0.6857	0.5745	0.3404	0.5916	0.4311	0.1489	0.5217	0.4201	6	5321018	
198	DB05830	0.8529	0.5472	0.3208	0.4866	0.4155	0.102	0.7436	0.3215	6	5321018	
199	DB05983	0.7945	0.4384	0.2466	0.5775	0.3358	0.1342	0.6591	0.406	6	5321018	
200	DB06272	0.7179	0.5271	0.3101	0.5581	0.3614	0.2549	0.56	0.3871	6	5321018	
201	DB06410	0.7887	0.4961	0.3101	0.544	0.3333	0.25	0.6512	0.3736	6	5321018	
202	DB06444	0.6923	0.4194	0.2419	0.465	0.3873	0.1188	0.5294	0.3029	6	5321018	
203	DB06780	0.8108	0.5246	0.2623	0.5479	0.3843	0.1468	0.6818	0.3773	6	5321018	
204	DB06870	0.8116	0.5357	0.3214	0.6069	0.3863	0.0952	0.6829	0.4357	6	5321018	
205	DB07373	0.875	0.566	0.3208	0.5028	0.4729	0.1	0.7778	0.3358	6	5321018	
206	DB07815	0.8158	0.531	0.3009	0.4918	0.4596	0.0984	0.6889	0.3261	6	5321018	
207	DB08059	0.7857	0.4545	0.303	0.5126	0.4558	0.1231	0.6471	0.3446	6	5321018	
208	DB08220	0.8219	0.4328	0.2537	0.6158	0.3642	0.0984	0.6977	0.4449	6	5321018	
209	DB08308	0.8056	0.5041	0.2439	0.5354	0.3656	0.1154	0.6744	0.3655	6	5321018	
210	DB08407	0.6522	0.4296	0.2519	0.4908	0.3245	0.1102	0.4839	0.3252	6	5321018	
211	DB08467	0.8308	0.5849	0.3585	0.6008	0.4087	0.0941	0.7105	0.4293	6	5321018	
212	DB08547	0.8108	0.4848	0.2424	0.5408	0.4247	0.1034	0.6818	0.3706	6	5321018	
